"Z.um","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Zn.K.L2.","Emit.Zn.K.L2.","Gen.Zn.K.L3.","Emit.Zn.K.L3.","Gen.Zn.K.M2.","Emit.Zn.K.M2.","Gen.Zn.K.M3.","Emit.Zn.K.M3.","Gen.Zn.L1.M2.","Emit.Zn.L1.M2.","Gen.Zn.L1.M3.","Emit.Zn.L1.M3.","Gen.Zn.L1.M5.","Emit.Zn.L1.M5.","Gen.Zn.L2.M1.","Emit.Zn.L2.M1.","Gen.Zn.L2.M3.","Emit.Zn.L2.M3.","Gen.Zn.L2.M4.","Emit.Zn.L2.M4.","Gen.Zn.L2.N1.","Emit.Zn.L2.N1.","Gen.Zn.L3.M1.","Emit.Zn.L3.M1.","Gen.Zn.L3.M2.","Emit.Zn.L3.M2.","Gen.Zn.L3.M3.","Emit.Zn.L3.M3.","Gen.Zn.L3.M4.","Emit.Zn.L3.M4.","Gen.Zn.L3.M5.","Emit.Zn.L3.M5.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Zn.K.L2.","Emit_I.Zn.K.L2.","Gen_I.Zn.K.L3.","Emit_I.Zn.K.L3.","Gen_I.Zn.K.M2.","Emit_I.Zn.K.M2.","Gen_I.Zn.K.M3.","Emit_I.Zn.K.M3.","Gen_I.Zn.L1.M2.","Emit_I.Zn.L1.M2.","Gen_I.Zn.L1.M3.","Emit_I.Zn.L1.M3.","Gen_I.Zn.L1.M5.","Emit_I.Zn.L1.M5.","Gen_I.Zn.L2.M1.","Emit_I.Zn.L2.M1.","Gen_I.Zn.L2.M3.","Emit_I.Zn.L2.M3.","Gen_I.Zn.L2.M4.","Emit_I.Zn.L2.M4.","Gen_I.Zn.L2.N1.","Emit_I.Zn.L2.N1.","Gen_I.Zn.L3.M1.","Emit_I.Zn.L3.M1.","Gen_I.Zn.L3.M2.","Emit_I.Zn.L3.M2.","Gen_I.Zn.L3.M3.","Emit_I.Zn.L3.M3.","Gen_I.Zn.L3.M4.","Emit_I.Zn.L3.M4.","Gen_I.Zn.L3.M5.","Emit_I.Zn.L3.M5."
0.00499999999919964,1.515,1.47,1.515,1.47,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.463,1.394,1.463,1.394,1.463,1.405,11.108,10.936,11.112,10.959,289.751,277.81,11.109,10.656,311.055,305.921,9.887,9.743,9.874,9.73,311.056,307.32,311.055,307.318,170218.587,165252.493,339090.723,329197.818,50861.996,50850.455,99036.213,99013.907,6289.569,6288.515,12296.616,12294.556,18126.004,17275.768,28835.173,27482.602,96.198,92.433,24413.654,24034.117,811.034,799.887,264429.619,253532.431,5850.664,5612.184,49402.474,48587.055,877.511,864.741,848.2,835.857,47770.529,47196.707,506264.971,500183.693
0.0195000000003347,2.062,1.878,2.062,1.878,1.303,1.302,1.303,1.302,1.303,1.302,1.303,1.302,1.968,1.691,1.968,1.691,1.968,1.735,14.972,14.25,14.977,14.337,390.437,341.798,14.972,13.127,419.297,397.853,13.33,12.728,13.312,12.711,419.299,403.623,419.297,403.621,231741.986,211087.911,461650.861,420506.09,64077.929,64031.719,124769.69,124680.377,7923.845,7919.625,15491.758,15483.507,24393.964,20954.234,38806.357,33334.373,129.464,114.113,32904.893,31318.356,1093.117,1046.44,356317.079,311928.893,7885.566,6913.516,66593.73,63188.005,1183.13,1129.68,1143.61,1091.945,64393.894,61986.505,682436.936,656923.775
0.0344999999997526,2.245,1.907,2.245,1.907,1.354,1.352,1.354,1.352,1.354,1.353,1.354,1.353,2.125,1.629,2.125,1.629,2.125,1.704,16.183,14.844,16.188,15,421.961,334.355,16.183,12.857,453.275,413.539,14.412,13.293,14.393,13.276,453.277,424.08,453.274,424.077,252321.695,214335.397,502647.492,426975.373,66607.879,66523.923,129695.896,129533.628,8236.698,8229.03,16103.409,16088.418,26332.31,20183.673,41889.913,32108.551,139.751,112.068,35566.207,32623.48,1181.527,1094.772,385086.433,305135.561,8523.343,6771.396,71990.132,65679.196,1279.159,1179.88,1236.431,1140.468,69612.034,65128.099,737738.001,690217.924
0.0489999999999782,2.438,1.932,2.438,1.932,1.403,1.4,1.403,1.4,1.403,1.401,1.403,1.401,2.302,1.575,2.302,1.575,2.302,1.68,17.534,15.503,17.54,15.733,457.131,328.026,17.534,12.629,491.106,430.894,15.617,13.918,15.596,13.899,491.108,446.638,491.105,446.635,274052.763,217173.018,545937.733,432628.169,69015.522,68891.513,134383.95,134144.271,8534.426,8523.099,16685.491,16663.347,28525.453,19521.49,45378.805,31055.137,151.39,110.502,38535.949,34071.748,1280.183,1148.303,417182.237,299360.407,9235.033,6651.58,77998.598,68435.541,1386.103,1235.309,1339.802,1194.046,75422.018,68592.505,799311.352,726933.186
0.0635000000002037,2.55,1.885,2.55,1.885,1.432,1.429,1.432,1.429,1.432,1.43,1.432,1.43,2.406,1.469,2.406,1.469,2.406,1.598,18.325,15.614,18.331,15.915,477.715,310.262,18.325,11.96,513.238,432.97,16.321,14.051,16.3,14.033,513.241,453.653,513.238,453.65,286637.284,211812.298,571007.23,421949.133,70461.01,70296.416,137198.541,136880.421,8713.174,8698.139,17034.959,17005.565,29817.521,18207.62,47434.25,28965.011,158.247,105.082,40274.053,34316.155,1337.924,1161.555,435967.661,283148.375,9651.565,6298.863,81513.709,68765.238,1448.666,1247.183,1400.276,1205.523,78821.012,69669.827,835333.386,738350.487
0.0784999999996217,2.698,1.86,2.698,1.86,1.446,1.442,1.446,1.442,1.446,1.443,1.446,1.443,2.534,1.381,2.534,1.381,2.534,1.531,19.31,15.859,19.317,16.234,503.34,295.978,19.311,11.423,540.843,438.744,17.201,14.307,17.179,14.289,540.846,464.668,540.842,464.665,303233.898,208998.118,604069.175,416343.032,71128.657,70924.28,138498.553,138103.541,8795.735,8777.065,17196.372,17159.871,31406.358,17118.669,49961.8,27232.687,166.68,100.726,42439.767,34853.512,1409.87,1184.842,459353.67,270113.133,10170.572,6016.36,85897.956,69682.411,1526.763,1269.893,1475.764,1227.474,83060.431,71361.465,880262.119,756278.21
0.0934999999999491,2.82,1.812,2.82,1.812,1.445,1.44,1.445,1.44,1.445,1.441,1.445,1.441,2.632,1.28,2.632,1.28,2.632,1.447,20.075,15.888,20.082,16.334,523.224,278.446,20.076,10.76,562.318,438.584,17.886,14.371,17.863,14.352,562.321,469.536,562.317,469.533,316909.481,203672.978,631312.165,405734.875,71068.714,70826.229,138381.834,137913.167,8788.322,8766.169,17181.88,17138.569,32618.721,15862.565,51890.449,25234.454,173.114,95.164,44121.244,34918.352,1465.73,1192.198,477500.009,254113.262,10573.533,5666.974,89308.666,69656.918,1587.553,1275.539,1534.522,1232.931,86358.473,72108.982,915214.277,764200.283
0.108000000000175,2.912,1.746,2.912,1.746,1.438,1.433,1.438,1.433,1.438,1.434,1.438,1.434,2.709,1.176,2.709,1.176,2.709,1.355,20.669,15.766,20.676,16.279,538.645,259.542,20.669,10.041,578.961,434.237,18.417,14.296,18.393,14.278,578.963,469.9,578.96,469.898,327287.237,196201.71,651985.588,390851.439,70756.071,70476.7,137773.07,137233.109,8749.661,8724.136,17106.294,17056.392,33570.025,14572.484,53403.8,23182.17,178.163,89.13,45425.764,34650.738,1509.067,1188.172,491573.329,236860.507,10886.158,5288.606,91951.895,68966.483,1634.679,1268.924,1580.074,1226.537,88914.386,72165.007,942301.463,764794.032
0.122499999999491,2.959,1.654,2.959,1.654,1.417,1.41,1.417,1.411,1.417,1.412,1.417,1.412,2.755,1.067,2.755,1.067,2.755,1.254,21.014,15.449,21.021,16.02,547.586,238.854,21.014,9.252,588.56,424.468,18.724,14.041,18.699,14.023,588.563,464.297,588.56,464.295,332533.293,185922.37,662436.204,370374.07,69696.129,69383.452,135709.198,135104.864,8618.589,8590.02,16850.038,16794.182,34146.285,13228.665,54320.525,21044.398,181.221,82.492,46183.616,33952.723,1534.243,1169.275,499732.84,217980.691,11067.775,4872.914,93476.519,67415.072,1661.912,1246.3,1606.397,1204.668,90388.647,71304.538,957925.459,755674.904
0.137500000000728,3.041,1.586,3.041,1.586,1.409,1.402,1.409,1.402,1.409,1.404,1.409,1.404,2.828,0.978,2.828,0.978,2.828,1.171,21.572,15.285,21.579,15.919,562.087,221.958,21.573,8.608,604.192,418.997,19.223,13.927,19.198,13.908,604.195,463.268,604.191,463.265,341801.051,178232.92,680898.41,355055.994,69330.493,68982.332,134997.248,134324.331,8573.375,8541.561,16761.64,16699.442,35047.572,12118.178,55754.309,19277.816,186.004,77.044,47410.43,33592.427,1574.998,1161.873,512966.527,202561.233,11361.778,4533.645,95959.2,66546.124,1706.179,1236.103,1649.186,1194.812,92789.316,71146.46,983367.391,753999.62
